mshortName,murl,cbestBuyYesCost,cbestSellYesCost,cbestBuyNoCost,cbestSellNoCost,contracts_ct,revenue,pi_cut,pi_cut_min,pi_cut_less_min,profit_net,dttm
Who will control the Senate after 2022?,https://www.predictit.org/markets/detail/6874/Which-party-will-control-the-Senate-after-2022-election,1.09,1.07,0.93,0.91,2,1,0.107,0.039,0.0679999999999999,0.002,2022-10-31 16:25:56.441001
Which party will win NM governor's race?,https://www.predictit.org/markets/detail/7652/Which-party-will-win-the-2022-New-Mexico-gubernatorial-election,1.12,1.09,0.91,0.88,2,1,0.109,0.0329999999999999,0.076,0.0139999999999999,2022-10-28 20:16:59.642098
Which party will win the AZ Senate race?,https://www.predictit.org/markets/detail/7112/Which-party-will-win-the-2022-US-Senate-election-in-Arizona,1.09,1.06,0.94,0.91,2,1,0.106,0.051,0.055,0.005,2022-10-19 17:04:59.934571
Which party will win KS governor's race?,https://www.predictit.org/markets/detail/7384/Which-party-will-win-the-2022-Kansas-gubernatorial-election,1.1,1.08,0.92,0.9000000000000001,2,1,0.108,0.043,0.065,0.015,2022-10-19 04:59:44.211948
Closest Senate race in 2022?,https://www.predictit.org/markets/detail/7634/Which-2022-Senate-race-will-be-the-closest,1.25,1.11,11.89,11.75,13,12,0.111,0.002,0.109,0.0009999999999994,2022-10-03 20:59:56.637258
GOP governors after midterms?,https://www.predictit.org/markets/detail/7632/How-many-Republican-governors-will-there-be-after-the-midterms,1.23,1.11,9.89,9.77,11,10,0.111,0.002,0.109,0.0009999999999994,2022-09-04 13:05:26.836313
TN-05 Republican primary margin?,https://www.predictit.org/markets/detail/8055/What-will-be-the-margin-in-the-TN-05-Republican-primary,1.94,1.21,0.79,0.06,2,1,0.121,0.051,0.0699999999999999,0.1399999999999999,2022-09-01 19:06:58.017691
NH Republican Senate nomination winner?,https://www.predictit.org/markets/detail/7258/Who-will-win-the-2022-New-Hampshire-Republican-Senate-nomination,1.39,1.19,3.81,3.61,5,4,0.119,0.003,0.1159999999999999,0.0739999999999999,2022-08-18 20:48:08.679162
Alaska at-large special second place?,https://www.predictit.org/markets/detail/8054/Who-will-come-in-second-place-in-the-2022-Alaska-at-large-special-election,1.2000000000000002,1.09,0.91,0.8,2,1,0.1089999999999999,0.0349999999999999,0.0739999999999999,0.0159999999999999,2022-08-17 15:19:11.098367
Alaska at-large first round leader?,https://www.predictit.org/markets/detail/8044/Who-will-lead-the-first-round-of-the-2022-Alaska-at-large-special-election,1.16,1.12,1.88,1.84,3,2,0.112,0.001,0.111,0.009,2022-08-16 14:46:05.256674
How many Senators re-elected in 2022?,https://www.predictit.org/markets/detail/7254/How-many-incumbent-US-Senators-will-be-re-elected-in-2022,1.38,1.16,4.84,4.62,6,5,0.116,0.0099999999999999,0.106,0.0540000000000001,2022-08-06 13:10:39.954624
GOP Trump impeachers re-elected?,https://www.predictit.org/markets/detail/7492/How-many-of-the-2021-GOP-Trump-impeachers-will-be-re-elected,1.37,1.11,4.89,4.63,6,5,0.111,0.001,0.11,3.191891195797325e-16,2022-08-03 03:43:59.503250
Missouri Senate GOP primary margin?,https://www.predictit.org/markets/detail/8048/What-will-be-the-margin-in-the-Missouri-GOP-Senate-primary,1.84,1.12,10.88,10.16,12,11,0.112,0.004,0.108,0.0119999999999992,2022-08-01 23:01:47.262157
Liz Cheney vote share?,https://www.predictit.org/markets/detail/8051/What-percentage-of-the-Wyoming-at-large-primary-vote-will-Liz-Cheney-win,2.31,1.15,8.85,7.689999999999999,10,9,0.115,0.004,0.111,0.0390000000000003,2022-08-01 22:05:23.276911
Kansas abortion measure MOV?,https://www.predictit.org/markets/detail/8045/What-will-be-the-margin-in-the-Kansas-abortion-ballot-measure-vote,1.36,1.17,8.83,8.64,10,9,0.1169999999999999,0.006,0.1109999999999999,0.0589999999999999,2022-08-01 18:34:10.614321
Biden's RCP approval on Aug. 5?,https://www.predictit.org/markets/detail/8053/What-will-Joe-Biden's-RCP-job-approval-rating-be-on-Aug-5,1.29,1.13,7.87,7.71,9,8,0.113,0.001,0.112,0.0179999999999998,2022-07-31 15:15:05.271307
MI gov GOP primary margin?,https://www.predictit.org/markets/detail/8052/What-will-be-the-margin-in-the-Michigan-Republican-gubernatorial-primary,2.09,1.11,8.89,7.91,10,9,0.111,0.004,0.107,0.0029999999999994,2022-07-30 22:24:31.984888
AZ gov GOP primary margin?,https://www.predictit.org/markets/detail/8046/What-will-be-the-margin-in-the-Arizona-Republican-gubernatorial-primary,1.24,1.12,8.88,8.76,10,9,0.112,0.004,0.108,0.0119999999999992,2022-07-29 19:03:11.669025
MO-04 Republican nominee?,https://www.predictit.org/markets/detail/8034/Who-will-win-the-Republican-nomination-in-the-MO-04-House-election,1.18,1.11,2.89,2.82,4,3,0.111,0.005,0.106,0.0039999999999998,2022-07-29 17:13:18.286795
Most votes in AK Sen. primary?,https://www.predictit.org/markets/detail/8043/Who-will-win-the-most-votes-in-the-2022-Alaska-Senate-primary,1.71,1.1700000000000002,1.83,1.29,3,2,0.117,0.002,0.115,0.0549999999999999,2022-07-29 16:39:01.897929
MO-07 Republican nominee?,https://www.predictit.org/markets/detail/8037/Who-will-win-the-Republican-nomination-in-the-MO-07-House-election,1.36,1.21,0.79,0.64,2,1,0.121,0.0319999999999999,0.089,0.1209999999999999,2022-07-29 06:39:17.357228
Congressional ballot lead for Aug. 3?,https://www.predictit.org/markets/detail/8050/Which-party-will-lead-in-538-Congressional-generic-ballot-polling-for-Aug-3,1.59,1.15,7.85,7.41,9,8,0.115,0.002,0.113,0.0370000000000003,2022-07-28 23:24:53.950284
Biden's 538 approval for Aug. 3?,https://www.predictit.org/markets/detail/8049/What-will-Joe-Biden's-538-job-approval-rating-be-for-Aug-3,1.46,1.11,7.89,7.54,9,8,0.111,0.003,0.108,0.0020000000000003,2022-07-28 17:47:53.094312
Top Republican in WA-08 primary?,https://www.predictit.org/markets/detail/8041/Which-Republican-will-win-the-most-votes-in-the-WA-08-House-primary,2.57,1.34,1.66,0.43,3,2,0.134,0.039,0.095,0.245,2022-07-26 19:16:32.511820
MI-13 Democratic nominee?,https://www.predictit.org/markets/detail/8033/Who-will-win-the-Democratic-nomination-in-the-MI-13-House-election,2.71,1.56,3.44,2.29,5,4,0.156,0.001,0.155,0.405,2022-07-23 07:37:54.377696
Democratic 2024 presidential nominee?,https://www.predictit.org/markets/detail/7057/Who-will-win-the-2024-Democratic-presidential-nomination,1.26,1.11,10.89,10.74,12,11,0.111,0.002,0.109,0.0009999999999994,2022-07-22 14:25:27.560535
Congressional ballot lead for July 27?,https://www.predictit.org/markets/detail/8031/Which-party-will-lead-in-538-Congressional-generic-ballot-polling-for-July-27,0.92,1.15,7.85,7.08,9,8,0.115,0.001,0.114,0.0360000000000003,2022-07-21 16:50:13.055934
Biden's 538 approval for July 27?,https://www.predictit.org/markets/detail/8032/What-will-Joe-Biden's-538-job-approval-rating-be-for-July-27,1.98,1.11,7.89,7.02,9,8,0.111,0.002,0.109,0.0010000000000003,2022-07-21 15:27:57.776460
NY-17 Democratic nominee?,https://www.predictit.org/markets/detail/7929/Who-will-win-the-Democratic-nomination-in-the-NY-17-House-election,1.14,1.12,0.88,0.86,2,1,0.112,0.025,0.087,0.0329999999999999,2022-07-20 16:12:29.027713
MD-06 Republican nominee?,https://www.predictit.org/markets/detail/8008/Who-will-win-the-Republican-nomination-for-the-MD-06-House-election,1.1,1.08,0.92,0.9,2,1,0.1079999999999999,0.0339999999999999,0.0739999999999999,0.0059999999999999,2022-07-16 04:23:35.587127
Congressional ballot lead for July 20?,https://www.predictit.org/markets/detail/8018/Which-party-will-lead-in-538-Congressional-generic-ballot-polling-for-July-20,1.38,1.12,7.88,7.62,9,8,0.112,0.003,0.109,0.0110000000000001,2022-07-15 16:23:52.469459
Biden's RCP approval on July 22?,https://www.predictit.org/markets/detail/8021/What-will-Joe-Biden's-RCP-job-approval-rating-be-on-July-22,1.44,1.11,7.890000000000001,7.56,9,8,0.1109999999999999,0.004,0.1069999999999999,0.0029999999999994,2022-07-15 16:10:31.035508
Next UK Conservative leader?,https://www.predictit.org/markets/detail/8019/Who-will-win-the-UK-Conservative-Party-leadership-election,2.32,1.13,3.87,2.68,5,4,0.113,0.001,0.112,0.0179999999999998,2022-07-14 18:17:24.966461
Biden's 538 approval for July 20?,https://www.predictit.org/markets/detail/8017/What-will-Joe-Biden's-538-job-approval-rating-be-for-July-20,1.27,1.11,7.89,7.729999999999999,9,8,0.111,0.002,0.109,0.0010000000000003,2022-07-14 16:16:31.016720
Biden's RCP approval on July 15?,https://www.predictit.org/markets/detail/8012/What-will-Joe-Biden's-RCP-job-approval-rating-be-on-July-15,1.29,1.15,4.85,4.71,6,5,0.115,0.002,0.113,0.0370000000000003,2022-07-14 14:54:43.473707
Montgomery County exec Dem nominee?,"https://www.predictit.org/markets/detail/8014/Who-will-win-the-Democratic-nomination-for-Montgomery-County,-MD-executive",1.2999999999999998,1.12,1.88,1.7,3,2,0.112,0.001,0.111,0.009,2022-07-13 10:24:05.012343
Biden's 538 approval for July 13?,https://www.predictit.org/markets/detail/8009/What-will-Joe-Biden's-538-job-approval-rating-be-for-July-13,1.28,1.11,4.89,4.72,6,5,0.111,0.001,0.11,3.05311331771918e-16,2022-07-13 09:25:37.266760
Maryland Democratic nominee for AG?,https://www.predictit.org/markets/detail/7694/Who-will-win-the-2022-Maryland-Democratic-attorney-general-nomination,1.15,1.1,0.8999999999999999,0.8500000000000001,2,1,0.11,0.03,0.08,0.02,2022-07-01 03:13:33.829648
Biden's RCP approval on July 8?,https://www.predictit.org/markets/detail/8006/What-will-Joe-Biden's-RCP-job-approval-rating-be-on-July-8,1.71,1.24,7.76,7.29,9,8,0.124,0.005,0.119,0.1210000000000002,2022-06-30 23:15:29.445694
Biden's 538 approval for July 6?,https://www.predictit.org/markets/detail/8004/What-will-Joe-Biden's-538-job-approval-rating-be-for-July-6,1.75,1.12,7.88,7.25,9,8,0.1119999999999999,0.003,0.1089999999999999,0.0110000000000001,2022-06-30 22:53:52.006887
NY-19 special election party winner?,https://www.predictit.org/markets/detail/7966/Which-party-will-win-the-2022-House-special-election-in-NY-19,1.11,1.09,0.91,0.8899999999999999,2,1,0.109,0.029,0.08,0.01,2022-06-28 22:48:25.986515
